,Company,Founded,Layoff,Month,Year
0,Microsoft,1975,1000,October,2022
1,Twitter,2006,3700,November,2022
2,Meta,2004,11000,November,2022
3,Netflix,1997,300,June,2022
4,Udaan,2016,350,November,2022
5,Unacademy,2015,350,November,2022
6,Clear,2011,200,September,2022
7,Amazon,1994,100000,July,2022
8,Walmart,1962,200,August,2022
9,Lido Learning,2019,200,February,2022
10,BlueStacks,2011,150,July,2022
11,TikTok,2016,100,July,2022
12,Vedantu,2011,100,July,2022
13,Cars24,2015,600,May,2022
14,Meesho,2015,300,August,2022
15,BYJU'S,2011,2500,October,2022
16,Better.Com,2016,250,August,2022
17,Blinkit,2013,1600,March,2022
18,OkCredit,2017,40,February,2022
19,Furlenco,2012,180,March,2022
20,Trell,2016,300,March,2022
21,Ford,1903,3000,August,2022
22,Noom,2008,500,October,2022
23,Robinhood,2013,700,August,2022
24,Nestlé,1866,104,March,2022
25,Tesco,1919,1600,February,2022
26,Unilever,1929,1500,January,2022
27,Mfine,2017,500,May,2022
28,Klarna,2005,700,May,2022
29,Rupeek,2015,50,September,2022
30,Coinbase,2012,1100,June,2022
31,CityMall,2019,191,June,2022
32,Tesla,2003,200,June,2022
33,Cineplex,1999,5000,January,2022
34,Primark,1969,400,January,2022
35,Royal Mail,1516,700,January,2022
36,DiDi,2012,3000,February,2022
37,Better.Com,2016,900,December,2021
38,Better.Com,2016,2000,March,2022
39,Better.Com,2016,1000,April,2022
40,Shopify,2006,1000,July,2022
